SEA,sea_lon,sea_lat
413,-83.99542716,35.90303775
414,-82.86816816,36.29124285
415,-102.5519922,30.63313659
416,-106.2348353,31.76862893
418,-99.09577807,29.0243998
420,-101.7219208,35.38890211
421,-102.2993304,32.85300722
422,-99.92270906,33.32326021
425,-98.13605645,32.73101754
426,-97.22050476,33.12405965
427,-97.29188782,32.77040029
428,-98.05879104,31.41043586
429,-96.66350321,32.24245147
430,-96.77788111,32.76662532
431,-97.20179997,31.55238696
432,-97.78187391,30.33472731
433,-96.42006425,30.82987991
434,-97.20994763,29.68322672
435,-97.93018151,28.52761322
436,-98.51991489,29.44904346
437,-95.0083121,32.45626597
438,-94.62992091,30.80284883
439,-95.8395956,29.39066091
440,-95.39536763,29.8584212
441,-94.17107102,29.88352337
442,-97.88653679,26.32979844
443,-112.1213871,40.83680752
444,-111.799644,40.50487076
445,-111.9239437,40.66763
446,-111.5537554,38.85047428
447,-72.87193819,44.54765111
448,-72.56505603,43.85466353
449,-82.29633817,37.04664408
450,-81.58971617,36.8183469
451,-80.02074544,37.60455242
452,-80.05203077,37.27134421
453,-78.70730012,38.61195144
454,-77.95614125,38.48539465
455,-77.26176424,38.84053101
456,-78.52963497,37.47314248
457,-77.51668374,37.44182541
458,-79.06742739,36.81410754
459,-76.9620762,37.76327282
460,-76.45396153,37.08281733
461,-76.79339663,37.01517008
462,-76.21123694,36.72879886
464,-123.6758359,47.42695199
465,-121.7748372,48.44861287
466,-122.6767089,47.61098049
467,-121.7973518,47.48809568
468,-122.1018534,47.02289849
469,-122.3693754,46.39154194
470,-122.4825982,45.77925988
471,-119.1570539,48.37012477
473,-120.5257404,46.46625797
474,-119.0208682,47.2643306
475,-117.7650546,46.5190971
476,-117.4041737,47.62099928
477,-81.04797958,39.41454984
478,-80.62874887,40.06455083
479,-81.91604588,38.5820865
480,-82.3601752,38.24503226
481,-80.82531297,38.76634713
482,-80.01934387,39.40581908
483,-81.60575231,37.68203253
484,-81.33943993,38.20662921
485,-79.54352829,38.67599673
487,-90.36495921,45.8674848
488,-90.74282536,45.28992598
489,-92.02440881,44.92842309
490,-90.54644812,43.64949137
491,-90.35869323,42.89039123
492,-90.4875007,44.8701997
493,-89.90246036,44.14065923
494,-88.29025782,44.96127952
495,-88.24620802,44.08076196
496,-88.74933868,43.17382178
497,-89.41833691,43.06736655
498,-87.96673464,43.00704022
500,-108.5597788,42.32240171
501,-108.4078819,43.85766618
502,-105.1958067,43.32313721
