county_name,STATEICP,COUNTYICP,county_lon,county_lat
Bergen,12,30,-74.07821914,40.96140133
Berkeley,48,150,-79.95109398,33.20026497
Berkeley,56,30,-78.02754696,39.46407441
Berks,14,110,-75.92600848,40.41633553
Berkshire,3,30,-73.20643057,42.37069758
Bernalillo,66,10,-106.6701344,35.05152335
Berrien,44,190,-83.22962815,31.27605564
Berrien,23,210,-86.41228469,41.95467966
Bertie,47,150,-76.97917293,36.06626589
Bexar,49,290,-98.52003231,29.44896329
Bibb,41,70,-87.12644403,32.99865048
Bibb,44,210,-83.69789493,32.80659913
Bienville,45,130,-93.05595873,32.34722606
Big Horn,64,30,-107.4897084,45.42346442
Big Horn,68,30,-107.9952238,44.52682151
Big Stone,33,110,-96.41095892,45.42614196
Billings,36,70,-103.3764411,47.02345262
Bingham,63,110,-112.3980671,43.21652548
Black Hawk,31,130,-92.30882885,42.47010497
Blackford,22,90,-85.32482487,40.47360826
Bladen,47,170,-78.56318876,34.6143208
Blaine,63,130,-113.9799103,43.41241679
Blaine,64,50,-108.9586758,48.43277027
Blaine,35,90,-99.97691875,41.91276615
Blaine,53,110,-98.43346442,35.87526139
Blair,14,130,-78.34863394,40.48113695
Blanco,49,310,-98.39987285,30.26638191
Bland,40,210,-81.13028945,37.13397499
Bleckley,44,230,-83.32784261,32.43444694
Bledsoe,54,70,-85.205158,35.59642079
Blount,41,90,-86.56738864,33.9808673
Blount,54,90,-83.9255358,35.6872436
Blue Earth,33,130,-94.06704222,44.03459623
Boise,63,150,-115.7302622,43.98913327
Bolivar,46,110,-90.88040694,33.79554516
Bollinger,34,170,-90.02595311,37.32219758
Bon Homme,37,90,-97.88464105,42.98837845
Bond,21,50,-89.43555522,38.8868237
Bonner,63,170,-116.600988,48.29975548
Bonneville,63,190,-111.6149326,43.38774364
Boone,42,90,-93.09151708,36.30860186
Boone,21,70,-88.82336951,42.32308753
Boone,22,110,-86.46869819,40.05080679
Boone,31,150,-93.93167853,42.03655684
Boone,51,150,-84.72800471,38.96996562
Boone,34,190,-92.30965736,38.99066809
Boone,35,110,-98.06726416,41.70679192
Boone,56,50,-81.71121641,38.02300419
Borden,49,330,-101.4317558,32.74369885
Bosque,49,350,-97.63435633,31.900408
Bossier,45,150,-93.60503166,32.67898253
Botetourt,40,230,-79.81232943,37.55710923
Bottineau,36,90,-100.8333391,48.79216749
Boulder,62,130,-105.353971,40.09019277
Boundary,63,210,-116.4628973,48.76702702
Bourbon,32,110,-94.84930509,37.85523294
Bourbon,51,170,-84.21716339,38.20673988
Bowie,49,370,-94.42332897,33.44583113
Bowman,36,110,-103.5206814,46.1126133
Box Butte,35,130,-103.0857142,42.21979029
Box Elder,67,30,-113.0820975,41.52097165
Boyd,51,190,-82.68806923,38.35929533
Boyd,35,150,-98.76647716,42.89969005
Boyle,51,210,-84.86677836,37.62435938
Bracken,51,230,-84.09024352,38.68878062
Bradford,43,70,-82.1687817,29.94996643
Bradford,14,150,-76.51567675,41.78861663
Bradley,42,110,-92.16227622,33.46592334
Bradley,54,110,-84.85960914,35.15410671
Branch,23,230,-85.05904657,41.91612633
Brantley,44,250,-81.98192711,31.19686645
Braxton,56,70,-80.71929159,38.69988029
Brazoria,49,390,-95.45472557,29.19081349
Brazos,49,410,-96.30239322,30.6608052
Breathitt,51,250,-83.32407179,37.52161357
Breckinridge,51,270,-86.42934674,37.77325089
Bremer,31,170,-92.31806004,42.77459649
